,Model,Best Params,Train Recall,Train Precision,Train F1,Train Accuracy,Test Recall,Test Precision,Test F1,Test Accuracy,Data Type,Feature Length
0,logistic_regression 0,"{'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 0.01}",0.6458675424192666,0.3321137067267098,0.4386617100371747,0.8084242578025882,0.6582694414019715,0.34050991501416433,0.44884241971620614,0.8127616389699353,regular,40
1,random_forest 1,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 10, 'class_weight': {0: 1, 1: 8}}",0.6510673234811166,0.40037024570851565,0.49583159649854114,0.8465490992133976,0.6484118291347207,0.3983849259757739,0.49353897457273865,0.8458708613472028,regular,40
2,xgboost 2,"{'subsample': 0.8, 'scale_pos_weight': 15, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.789272030651341,0.2290888871236794,0.35510681524348947,0.667755645775184,0.7754654983570646,0.2240506329113924,0.3476552909403388,0.6629455790942534,regular,40
3,naive_bayes 3,{},0.4239189928845101,0.4312360801781737,0.42754623240408507,0.868434407510784,0.4654983570646221,0.4753914988814318,0.4703929164360819,0.878599517950019,regular,40
4,isolation_forest 4,"{'contamination': 0.2, 'max_samples': 1.0, 'n_estimators': 300, 'random_state': 42}",0.349480021893815,0.349480021893815,0.349480021893815,0.8492133976148186,0.3855421686746988,0.36476683937823834,0.374866879659212,0.8510719269313713,regular,40
5,logistic_regression 5,"{'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 0.01}",0.6458675424192666,0.3321137067267098,0.4386617100371747,0.8084242578025882,0.6582694414019715,0.34050991501416433,0.44884241971620614,0.8127616389699353,regular,32
6,random_forest 6,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10, 'class_weight': {0: 1, 1: 8}}",0.6488779419813903,0.39569425901201605,0.49160273688575573,0.8444557218979954,0.6527929901423878,0.40107671601615075,0.4968736973739058,0.8468857034124064,regular,32
7,xgboost 7,"{'subsample': 1.0, 'scale_pos_weight': 15, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",0.8453749315818281,0.2508934372969461,0.3869472629337342,0.689545800558234,0.7677984665936474,0.22686084142394822,0.3502373220084936,0.6700494735506787,regular,32
8,naive_bayes 8,{},0.4239189928845101,0.4312360801781737,0.42754623240408507,0.868434407510784,0.4654983570646221,0.4753914988814318,0.4703929164360819,0.878599517950019,regular,32
9,isolation_forest 9,"{'contamination': 0.2, 'max_samples': 1.0, 'n_estimators': 300, 'random_state': 42}",0.349480021893815,0.349480021893815,0.349480021893815,0.8492133976148186,0.3855421686746988,0.36476683937823834,0.374866879659212,0.8510719269313713,regular,32
10,logistic_regression 10,"{'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 100}",0.8023606228026118,0.8447592067988668,0.8230142228927856,0.8274556934777929,0.48083242059145676,0.2970230040595399,0.3672103722291928,0.8080679944183686,oversample,40
11,random_forest 11,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 10, 'class_weight': {0: 1, 1: 8}}",0.9988878524790127,0.5431402766127617,0.7036657947609841,0.5793391691181746,0.9605695509309967,0.12996443390634263,0.22895183396423444,0.25066599010528984,oversample,40
12,xgboost 12,"{'subsample': 0.8, 'scale_pos_weight': 10, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",1.0,0.5,0.6666666666666666,0.5,1.0,0.11581885069136116,0.2075943610732151,0.11581885069136116,oversample,40
13,naive_bayes 13,{},0.7280978689818469,0.7858968401486989,0.7558940742671981,0.7648704886273947,0.5651697699890471,0.2710084033613445,0.36634717784877524,0.7735633642014461,oversample,40
14,isolation_forest 14,"{'contamination': 0.2, 'max_samples': 1.0, 'n_estimators': 300, 'random_state': 42}",0.14389753892516324,0.6208017334777898,0.23363914373088687,0.5280010045203415,0.3198247535596933,0.32845894263217096,0.3240843507214206,0.8454902955727515,oversample,40
15,logistic_regression 15,"{'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 100}",0.8023606228026118,0.8447592067988668,0.8230142228927856,0.8274556934777929,0.48083242059145676,0.2970230040595399,0.3672103722291928,0.8080679944183686,oversample,32
16,random_forest 16,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 10, 'class_weight': {0: 1, 1: 8}}",0.9990313553849466,0.5447165603849614,0.7050230391412222,0.5820119107411925,0.9550930996714129,0.12985852568875653,0.22863135815416888,0.2535836610427502,oversample,32
17,xgboost 17,"{'subsample': 0.8, 'scale_pos_weight': 15, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.9931477362416589,0.5732894300861497,0.7269504477298391,0.6269641960249696,0.91894852135816,0.13946143617021275,0.2421705873863472,0.3338830394519853,oversample,32
18,naive_bayes 18,{},0.7280978689818469,0.7858968401486989,0.7558940742671981,0.7648704886273947,0.5651697699890471,0.2710084033613445,0.36634717784877524,0.7735633642014461,oversample,32
19,isolation_forest 19,"{'contamination': 0.2, 'max_samples': 1.0, 'n_estimators': 300, 'random_state': 42}",0.14389753892516324,0.6208017334777898,0.23363914373088687,0.5280010045203415,0.3198247535596933,0.32845894263217096,0.3240843507214206,0.8454902955727515,oversample,32
