country_code,month,day,relative_active_users
country52,1,26,0.575049837
country67,2,20,1.16867E-05
country55,4,21,3.07778E-05
country173,2,20,0.000227722
country192,6,7,1.33953E-06
country147,6,3,0.00018504
country29,4,26,2.25381E-06
country203,1,27,8.73096E-06
country28,6,3,0.000885562
country170,5,10,0.000380607
country211,6,13,0.006909955
country221,3,7,2.82823E-05
country170,5,3,0.000397351
country33,5,27,0.004227793
country159,3,26,0.10331352
country231,4,27,1.55823E-05
country31,4,4,0.000159705
country124,3,23,0.004954299
country84,5,31,1.62516E-06
country82,4,15,2.67106E-05
country35,3,17,0.00077527
country107,6,2,0.002160338
country51,4,24,0.005780725
country142,5,13,0.00104012
country56,2,4,6.22937E-06
country77,1,20,0.000463813
country189,6,7,1.36345E-05
country172,6,27,3.62106E-06
country20,5,14,0.056507358
country168,3,11,0.002893743
country79,2,6,0.000218005
country149,4,8,9.42513E-05
country94,6,16,2.24133E-05
country52,5,11,0.502636486
country91,3,12,3.33485E-05
country206,6,15,0.028966136
country16,5,21,0.005971876
country47,6,30,0.000112086
country83,3,8,0.001564805
country78,4,5,0.000136834
country151,2,27,3.01285E-05
country122,2,2,5.45381E-05
country101,2,27,0.000485163
country198,6,25,3.22714E-05
country18,4,28,0.00525158
country35,3,18,0.000790229
country30,4,19,0.000277233
country205,6,12,4.61113E-05
country189,6,27,1.16867E-05
country112,4,19,0.000395801
country3,3,25,0.005835387
country16,2,14,0.004492758
country21,4,26,6.76143E-06
country155,6,28,3.16369E-06
country14,1,13,0.000895569
country226,3,21,0.002978484
country91,3,13,3.1697E-05
country63,1,11,0.000129189
country127,1,7,0.002902902
country198,1,12,3.17744E-05
country126,6,13,0.000989617
country25,1,5,6.7196E-06
country110,2,23,7.49274E-05
country167,1,12,3.97607E-05
country218,6,27,0.000144842
country166,1,31,0.000281553
country126,1,6,0.000572769
country57,5,12,0.002899537
country115,2,10,9.60876E-06
country56,3,27,2.18942E-05
country34,1,15,1.86204E-06
country32,4,30,0.004369407
country231,3,24,1.94779E-05
country46,3,16,0.000460224
country8,6,10,9.11085E-05
country87,2,28,2.12687E-05
country56,3,16,2.16548E-05
country229,6,1,0.000181766
country209,5,27,0.122715684
country57,6,2,0.0032307
country51,2,18,0.004940013
country50,6,9,0.00027791
country100,3,13,0.000132589
country9,1,8,0.001601083
country124,3,29,0.004701586
country111,5,18,0.000531317
country208,4,9,0.000338504
country89,3,30,1.94779E-06
country155,6,10,4.83177E-06
country147,3,25,0.000233735
country109,2,16,0.071719448
country127,5,7,0.003413522
country229,2,10,0.000163533
country48,1,30,5.19738E-05
country17,5,2,0.000214972
country203,2,2,6.61397E-06
country150,5,18,1.14269E-05
country158,3,24,8.73146E-06
country50,6,6,0.000258422
country125,6,9,1.88223E-05
country11,3,11,0.050092092
country217,6,8,0.00950556
country165,5,15,1.94779E-06
country232,1,1,3.89558E-06
country129,5,25,2.76308E-05
country107,3,13,0.00219186
country180,4,22,0.000742108
country49,5,15,5.87937E-05
country10,5,5,2.27418E-06
country182,2,5,0.000237707
country22,6,25,0.000115182
country108,6,15,0.010021622
country207,1,26,0.073528751
country115,5,5,1.85925E-05
country108,5,12,0.008837662
country153,1,29,0.002666002
country138,6,22,0.000224735
country220,3,10,7.79116E-06
country152,2,15,2.89043E-05
country121,6,29,1.58026E-06
country226,4,7,0.002829219
country18,5,25,0.005599553
country149,3,17,9.62525E-05
country56,5,30,9.32687E-06
country196,2,24,2.72379E-06
country30,6,17,0.00036107
country48,1,15,2.79731E-05
country163,1,14,8.18072E-05
country98,2,10,9.65061E-05
country31,1,17,0.000156188
country53,4,21,0.000164148
country172,1,31,2.33829E-05
country17,1,9,0.000212349
country121,6,23,1.58978E-06
country43,6,3,0.008816974
country227,2,24,0.000207433
country153,6,24,0.003638902
country26,4,25,1.57609E-05
country179,1,12,0.000130327
country94,3,14,2.98402E-05
country158,5,25,2.32009E-06
country94,4,6,3.09077E-05
country116,1,6,3.75777E-06
country144,5,15,0.001003692
country137,2,13,0.004191541
country52,1,3,0.464926642
country6,6,10,0.004259325
country175,4,22,0.00020944
country11,2,14,0.054336056
country19,3,17,1.95088E-05
country191,1,26,2.26591E-05
country64,4,12,4.33682E-05
country219,4,30,0.000154224
country6,6,16,0.004351033
country152,2,19,2.66996E-05
country119,3,6,0.00014998
country130,6,9,8.24023E-05
country169,1,6,0.003113613
country109,6,8,0.038528118
country156,4,8,3.24681E-05
country216,5,8,1.49669E-05
country96,5,6,3.89558E-06
country169,5,17,0.002006334
country180,4,18,0.000821967
country211,4,20,0.005196396
country216,1,20,1.11165E-05
country189,1,11,3.89558E-06
country144,6,17,0.001093714
country73,4,7,4.20169E-05
country150,2,9,1.53929E-05
country173,5,15,0.000293754
country147,3,27,0.000210361
country212,5,20,1.15426E-05
country159,2,18,0.075909853
country135,1,5,5.84885E-05
country190,1,31,4.40051E-06
country175,4,8,0.000198056
country83,2,29,0.001444353
country118,2,8,2.23124E-06
country191,2,19,1.05391E-05
country156,4,29,3.53074E-05
country148,5,30,2.30934E-05
country101,1,26,0.000460354
country28,1,5,0.000994924
country55,3,12,4.0974E-05
country101,6,1,0.000633871
country222,2,4,1.36345E-05
country227,2,16,0.000210782
country49,4,7,5.28675E-05
country111,2,10,0.000560045
country4,2,23,2.72691E-05
country168,5,31,0.003062273
country136,6,14,0.000282103
country36,6,25,9.73895E-06
country23,5,26,0.013024099
country181,1,10,0.000563329
country129,1,14,1.9141E-05
country23,5,11,0.010919933
country194,2,8,0.006434136
country191,4,18,8.94344E-06
country218,4,18,5.59531E-05
country10,5,6,2.27645E-06
country227,2,10,0.000171002
country67,4,15,5.84337E-06
country97,5,7,4.36432E-05
country184,2,1,1.83247E-06
country133,5,9,8.5006E-06
country207,1,8,0.058897916
country2,3,20,0.552462334
country132,3,14,2.95018E-06
country45,1,27,0.008215777
country2,1,29,0.402320862
country217,4,14,0.00734196
country158,3,15,2.16332E-06
country157,5,3,0.000233986
country114,5,9,6.84986E-06
country167,1,23,4.79414E-05
country53,3,27,0.000205083
country176,4,7,0.001259757
country167,3,9,3.40626E-05
country156,5,6,2.17847E-05
country53,4,2,0.000193368
country45,3,8,0.010440153
country27,3,16,2.67572E-06
country67,5,6,7.79116E-06
country140,2,16,5.84337E-06
country225,3,26,0.000239866
country95,6,24,1.16867E-05
country102,3,8,0.000285715
country91,4,21,2.05625E-05
country36,5,10,9.73895E-06
country198,1,11,2.74829E-05
country82,1,24,1.69146E-05
country28,2,27,0.000964125
country102,1,31,0.000269131
country133,1,4,1.4557E-05
country219,4,9,0.000152363
country107,5,23,0.002193392
country118,2,6,6.66704E-06
country166,6,1,0.000210064
country7,1,17,0.013257439
country3,5,18,0.004742149
country113,3,22,0.002131367
country13,4,5,1.55823E-05
country143,4,20,3.40613E-06
country221,4,4,2.23669E-05
country229,2,3,0.000172307
country181,2,17,0.00060428
country123,6,26,4.43289E-06
country60,3,27,0.003837544
country79,1,28,0.000196421
country34,1,26,1.84166E-06
country212,5,5,2.04676E-05
country134,5,13,1.1201E-05
country163,6,5,5.84337E-05
country226,4,4,0.00283477
country13,3,23,1.75301E-05
country67,1,8,7.79116E-06
country26,1,7,2.4254E-05
country64,4,16,4.59894E-05
country134,4,3,9.54795E-06
country179,6,2,0.000184788
country215,5,27,9.15467E-05
country21,3,30,4.39199E-06
country53,2,19,0.000133498
country149,4,9,8.21734E-05
country214,1,6,0.005063093
country46,6,28,0.000639218
country214,4,2,0.007334547
country3,4,26,0.00476557
country115,1,30,1.63191E-05
country167,4,30,4.57903E-05
country169,4,1,0.002845011
country185,1,12,0.006476401
country35,2,24,0.000771828
country67,2,19,1.36345E-05
country133,4,30,1.29827E-05
country119,3,7,0.000130502
country131,3,12,7.16425E-06
country223,6,25,0.003860832
country194,4,16,0.009473253
country59,6,17,1.16867E-05
country182,6,22,0.000159888
country7,2,22,0.016591088
country212,1,14,1.42475E-05
country130,1,21,7.33288E-05
country33,5,9,0.003880411
country183,3,13,0.000296715
country148,3,4,3.06596E-05
country190,6,25,5.86753E-06
country189,1,12,7.79116E-06
country81,4,2,2.48544E-06
country47,2,3,0.000113386
country142,5,28,0.001112188
country227,5,5,0.000122822
country167,2,28,4.81701E-05
country160,4,28,0.000490055
country13,4,25,1.75301E-05
country189,2,26,1.36345E-05
country211,1,15,0.004477793
country194,6,8,0.010903784
country205,6,23,5.69415E-05
country166,4,30,0.000239861
country95,3,31,1.75301E-05
country155,2,17,1.08202E-05
country118,6,1,2.7964E-06
country124,2,20,0.005140381
country2,6,4,0.592526325
country2,2,4,0.397445594
country218,1,6,5.42395E-05
country130,5,9,6.15514E-05
country17,1,25,0.000190621
country145,6,9,0.000480337
country114,4,30,4.52568E-06
country176,5,1,0.001452596
country130,1,16,7.68705E-05
country177,1,1,0.002617247
country228,6,14,0.001336184
country163,3,1,7.01204E-05
country218,4,12,5.2064E-05
country160,5,10,0.000450257
country97,4,5,1.41621E-05
country194,2,16,0.007007003
country212,5,12,2.06113E-05
country100,2,28,0.000154651
country36,6,26,3.89558E-06
country16,5,9,0.004509717
country112,6,20,0.000549617
country38,4,9,1.94779E-06
country4,5,20,2.33735E-05
country200,1,24,1.14489E-05
country21,4,5,8.82799E-06
country10,5,27,2.32474E-06
country218,2,1,6.31339E-05
country67,2,14,1.16867E-05
country160,3,29,0.000497993
country201,2,18,3.89558E-06
country103,2,25,0.000766366
country167,3,17,4.56237E-05
country35,3,25,0.000807284
country96,4,24,5.84337E-06
country189,2,14,7.79116E-06
country163,5,28,4.47992E-05
country112,6,6,0.000540646
country69,5,29,0.000136519
country58,4,10,5.25903E-05
country162,5,25,5.45381E-05
country71,6,22,0.00905005
country189,1,27,5.84337E-06
country180,6,10,0.00074016
country130,4,5,6.00093E-05
country104,2,7,0.00484995
country94,2,24,3.58157E-05
country73,6,30,5.28593E-05
country5,5,3,0.001075004
country142,2,4,0.001320601
country89,3,21,9.73895E-06
country14,5,25,0.000647437
country175,6,13,0.000239896
country175,5,25,0.000278099
country201,3,25,7.79116E-06
country198,6,5,2.81884E-05
country118,5,31,2.7964E-06
country194,5,30,0.010325305
country86,3,25,7.09001E-05
country218,2,18,6.15113E-05
country228,6,29,0.00124269
country63,3,3,0.000127735
country128,4,6,3.89558E-06
country201,4,5,7.79116E-06
country214,1,22,0.005741893
country3,6,12,0.005671693
country49,4,18,5.76264E-05
country39,1,16,0.000881724
country161,5,3,0.002412621
country188,1,24,3.6907E-06
country26,2,14,1.46812E-05
country179,4,12,0.000147515
country168,3,27,0.003056431
country170,4,22,0.000426197
country206,1,29,0.044315246
